date,course,tee,yards,par,score,to_par,front,back,fairways_hit,fairways_total,gir,putts,three_putts,penalties,up_down_pct,doubles_or_worse,notes
2026-05-28,Enagic at Eastlake,Blue,6224,72,79,7,36,43,,14,11,,,,,,First sub-80. No warmup. Birdie on 18 from 20ft.
2026-05-30,Enagic at Eastlake,Black,6606,72,84,12,,,,14,,,,,,,Backed up the 79 from the longest tees.
2026-06-06,Torrey Pines North,,,72,84,12,,,,14,,,,,,,129 slope. Two birdies on the front.
2026-07-24,Miami Beach GC,,,,93,,,,,14,2,,,,,,First round back after ~7 weeks off. Rain. Unfamiliar course.
2026-07-31,Enagic at Eastlake,Blue,6224,72,81,9,42,39,5,14,10,32,1,2,40,4,Driver hook on the front. All four doubles on the front nine.
2026-08-01,Enagic at Eastlake,Blue,6224,72,86,14,40,46,8,14,7,35,,2,11.1,3,Driver fixed but short game gone. 4h12m round. Par-5 avg 6.3.
2026-08-04,Enagic at Eastlake,Blue,6224,72,81,9,40,41,7,14,6,32,2,0,44.4,1,Zero penalties. Hover fixed the hook. 81 with only 6 GIR.
2026-08-08,Corica Park North,Blue,6087,72,90,18,47,43,7,14,8,42,8,4,40,4,First time on course. 42 putts / 8 three-putts on severe greens. Par-5 avg 6.5.
2026-08-15,Campestre de Tijuana,White,6261,72,87,15,42,45,7,14,7,37,2,0,12.5,4,17 mph wind. Zero penalties. Par-4 avg 5.2 buried the round.
2026-08-18,Enagic at Eastlake,Blue,6224,72,91,19,45,46,5,14,6,33,2,3,33.3,6,Fourth straight day of golf with no food. Hook returned. First round with L.A.B. putter.
2026-08-22,Campestre de Tijuana,White,6261,72,82,10,41,41,6,14,6,29,0,1,12.5,1,Rested. 29 putts and zero three-putts. Topped driver on 15 and hybrid on 18.
2026-08-27,Enagic at Eastlake,Blue,6224,72,76,4,39,37,5,14,6,26,1,1,83.3,2,CAREER BEST. 12 pars. Driver hooking so played 5-wood off the tee. 26 putts = top 1% at course.
2026-08-29,Enagic at Eastlake,Blue,6224,72,83,11,43,40,4,14,10,35,1,1,20,5,First round after driver lesson. Driver longer than ever no hooks. Two doubles from bunkers. 5h round.
2026-08-30,Campestre de Tijuana,Azul,6581,72,82,10,43,39,8,14,11,34,2,0,66.7,4,Longest tees at Campestre. 11 GIR ties career best. Zero penalties. Three straight doubles on 6-7-8.
