date,round_id,course,tee,yards,par,holes,score,to_par,front,back,fairways_hit,fairways_total,fairways_left,fairways_right,gir,gir_total,gir_short,gir_long,gir_left,gir_right,putts,three_putts,penalties,up_down_pct,birdies,pars,bogeys,doubles_or_worse,putts_made_5_15,putts_faced_5_15,greens_firm,green_speed,wind,tee_club,app_handicap,source,notes
2025-06-23,9f3bf980-507c-11f0-9700-02627b678af7,Enagic at Eastlake,,,72,18,97,25,46,51,7,14,2,2,5,18,5,2,3,2,36,,,,0,3,8,7,,,,,,,26.7,18birdies,
2025-06-28,57035b10-542b-11f0-9783-0ab15c307481,Flamingo Lakes Country Club,,,72,18,107,35,60,47,,13,2,3,,18,3,1,2,,25,,,,0,0,7,11,,,,,,,35.7,18birdies,
2025-07-03,ffdbb700-582c-11f0-b21b-029b90f35a4e,La Cantera Golf Club,,,72,18,96,24,49,47,7,14,1,2,5,18,7,1,2,1,41,,,,1,2,9,6,,,,,,,23.5,18birdies,
2025-07-04,caf94680-58e3-11f0-ad4f-06dc4cbfdf1e,Grey Rock Golf Club,,,72,18,103,31,52,51,8,14,2,1,5,18,4,3,2,1,44,,,,0,3,5,10,,,,,,,26.6,18birdies,
2025-07-06,a51268d0-5a86-11f0-bc8e-06508d097ff9,Plum Creek Golf Course,,,72,18,89,17,44,45,8,13,,2,4,18,7,1,3,1,33,,,,0,5,9,4,,,,,,,18.1,18birdies,
2025-07-07,1bb734d0-5b53-11f0-bfd4-021d58ec5439,Roy Kizer Golf Course,,,72,18,92,20,47,45,12,14,,,4,18,10,,2,,36,,,,1,4,5,8,,,,,,,20.4,18birdies,
2025-07-13,56d00d20-5fff-11f0-a782-06508d097ff9,Miami Springs Golf & Country Club,,,72,18,93,21,45,48,7,14,2,5,2,18,5,2,4,,36,,,,0,3,9,6,,,,,,,22.8,18birdies,
2025-07-26,08b80380-6a5f-11f0-9683-06d15d9e7497,Miami Springs Golf & Country Club,,,72,18,101,29,47,54,4,14,3,,,18,5,1,1,2,25,,,,0,0,8,10,,,,,,,30.6,18birdies,
2025-07-28,7dca4990-6be4-11f0-ae88-06508d097ff9,Miami Beach Golf Club,,,72,18,95,23,47,48,5,13,4,,5,18,7,1,,1,42,,,,0,2,10,6,,,,,,,23.0,18birdies,
2025-08-02,91b783a1-6fcc-11f0-8ca3-021d58ec5439,Normandy Shores Golf Course,,,72,18,105,33,51,54,8,14,2,3,1,18,12,,,1,38,,,,0,1,4,13,,,,,,,28.2,18birdies,
2025-08-03,3c8425d0-70aa-11f0-a724-02627b678af7,Miami Beach Golf Club,,,72,18,95,23,49,46,6,13,4,1,1,18,9,3,2,,36,,,,0,2,11,5,,,,,,,23.0,18birdies,
2025-08-04,5c244560-7162-11f0-bb1e-06dc4cbfdf1e,Miami Beach Golf Club,,,72,18,93,21,49,44,10,13,1,2,2,18,7,2,1,6,39,,,,0,2,12,4,,,,,,,21.2,18birdies,
